   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    7550 -5.19436131E-01 -5.28016373E-02  5.39279967E-01  9.02253503E-01  6.55512428E-02
    7600 -4.93259296E-01 -4.31185972E-02  6.34469499E-01  9.12683673E-01  8.88032424E-02
    7650 -3.88994803E-01 -2.32993357E-01  7.85824995E-01  9.75147500E-01  1.26621844E-01
    7700 -1.22658724E-01 -1.39753268E-01  8.70778456E-01  9.26708782E-01  1.16774517E-01
    7750 -1.96627367E-01 -2.31278910E-01  9.08862093E-01  9.85440128E-01  2.38526053E-02
    7800 -2.08069638E-01 -3.29373498E-01  8.31987884E-01  9.51158994E-01  1.13063964E-01
    7850 -1.56449202E-01 -2.98915386E-01  8.08169378E-01  9.21096672E-01  2.79377286E-02
    7900 -9.43953405E-02 -3.72330623E-01  8.97620128E-01  1.03339794E+00  6.71960777E-02
    7950 -2.07202746E-01 -2.80610826E-01  8.40126011E-01  9.45091558E-01  9.89420157E-02
    8000 -1.98531741E-01 -2.79790938E-01  7.88145800E-01  8.83853717E-01  1.20867370E-01
    8050 -7.72844914E-02 -2.28928278E-01  8.05382718E-01  8.94540547E-01  4.03325052E-02
    8100 -4.63551844E-03 -1.38107768E-01  6.83715431E-01  8.18580481E-01  9.36199480E-02
    8150 -5.41700546E-02 -2.15426397E-01  6.71576255E-01  9.00572328E-01  4.24389238E-02
    8200 -1.97278744E-02 -1.80209670E-01  5.87838551E-01  8.48065801E-01  5.16120812E-02
    8250  7.26711311E-02 -2.18204997E-01  5.24734621E-01  8.62626698E-01  5.29799888E-02
    8300  6.15787481E-02 -2.52536652E-01  6.03888875E-01  8.69313025E-01  6.82352702E-02
    8350  6.88604764E-02 -2.19705410E-01  5.03861460E-01  7.57679202E-01  1.21374397E-01
    8400  5.38027458E-02 -2.11322684E-01  5.49646805E-01  7.60890957E-01  7.52761789E-02
    8450 -1.50283408E-02 -2.97153390E-01  4.84667087E-01  7.84678828E-01  1.60238438E-01
    8500  4.56087603E-02 -3.12692088E-01  5.05649596E-01  7.94637627E-01  1.49281929E-01
    8550  8.98185068E-02 -2.89376330E-01  4.96245719E-01  8.00594124E-01  1.48527453E-01
    8600  1.41251471E-03 -3.24001089E-01  4.64645899E-01  8.53267519E-01  1.43166953E-01
    8650  5.71344250E-02 -2.02764159E-01  3.60465061E-01  7.23742392E-01  1.53981024E-01
    8700  1.29282373E-01 -1.58400373E-01  3.39354699E-01  7.40148556E-01  8.37356884E-02
    8750  1.24167876E-01 -5.72699057E-02  2.08121595E-01  7.76840893E-01  1.26894041E-01
    8800  5.90598932E-02 -7.17907756E-02  2.11115030E-01  8.83660328E-01  1.42321412E-01
    8850  6.85339314E-03 -1.14113351E-01  2.23536060E-01  8.34592404E-01  7.86224019E-02
    8900 -2.46002947E-02  1.58587105E-02  1.88539321E-01  8.19442928E-01  4.01275672E-02
    8950  1.35543908E-01  4.93603985E-02  2.42966134E-01  8.90408259E-01  1.11013017E-01
    9000  3.50176189E-03  4.48635138E-02  8.59485201E-02  7.92531468E-01  1.16047993E-01
    9050 -4.72330458E-02  8.09476185E-02  9.12443565E-02  8.43714935E-01  1.60616507E-01
    9100 -3.00263662E-02  1.46064738E-01  1.19455655E-01  8.51586576E-01  7.06812650E-02
    9150  4.65323139E-02  1.66603507E-01  1.25785389E-01  8.30335569E-01  9.44761024E-02
    9200 -8.62890035E-02  5.94156040E-02  2.07130060E-01  8.37188519E-01  1.30231151E-01
    9250 -1.25829325E-01  1.26264694E-01  1.85080029E-01  8.66443924E-01  9.62360727E-02
    9300 -9.38814038E-02  3.21210612E-01  1.61941854E-01  9.11525196E-01  8.40374649E-02
    9350 -1.94657764E-01  3.81442899E-01  1.34574275E-01  8.58646814E-01  9.81453221E-02
    9400 -2.64067987E-01  2.27473727E-01  1.61471909E-01  8.76537527E-01  5.13602123E-02
    9450 -2.81494309E-01  2.29928046E-01  9.18532959E-02  8.93874231E-01  8.95368441E-02
    9500 -1.24158748E-01  1.82052707E-01  6.69219398E-02  8.50742539E-01  5.98509398E-02
    9550 -1.42192675E-01  2.09668943E-01  1.14048052E-01  8.50737546E-01  6.62971356E-02
    9600 -8.03436280E-02  2.95639702E-01  2.39397288E-02  8.34544538E-01  1.33408895E-01
    9650 -7.61799984E-02  2.52440604E-01 -9.71708139E-02  8.34931855E-01  1.08704985E-01
    9700  1.29517145E-02  3.19086499E-01 -2.90626833E-01  8.59815114E-01  8.55850611E-02
    9750  1.35527161E-02  3.66994702E-01 -2.45275244E-01  7.88474814E-01  5.56159022E-02
    9800  2.92259872E-02  4.40646164E-01 -3.02937669E-01  9.13692284E-01  9.14269195E-02
    9850  3.07328696E-02  5.25090920E-01 -3.00823004E-01  9.31102894E-01  5.27558189E-02
    9900  6.62860515E-02  4.45058214E-01 -4.15784218E-01  9.16259238E-01  8.35636159E-02
    9950 -1.58093686E-02  4.00879291E-01 -3.29624342E-01  9.02241109E-01  1.04491739E-01
   10000 -3.00061283E-02  3.62111974E-01 -3.86009881E-01  8.94507490E-01  1.33971713E-01
   10050  5.15369526E-02  2.51230160E-01 -3.87874726E-01  8.23607139E-01  9.28116118E-02
   10100  1.44829017E-01  3.68296797E-01 -3.83564486E-01  8.07058748E-01  8.59284241E-02
   10150  1.91349478E-01  4.53297005E-01 -1.96316933E-01  7.12061164E-01  7.77026239E-02
   10200  1.28309914E-01  4.32784425E-01 -3.36107133E-01  7.40344045E-01  9.12553905E-02
   10250 -5.43452512E-02  6.00484198E-01 -3.49552596E-01  8.33130138E-01  7.45352862E-02
   10300 -2.86707943E-01  4.86094226E-01 -3.16124683E-01  7.96618475E-01  1.19154349E-01
   10350 -3.07402294E-01  4.89671900E-01 -3.53035503E-01  8.58912172E-01  5.75776817E-02
   10400 -2.99275276E-01  4.67757817E-01 -3.46411432E-01  9.22311435E-01  1.00927279E-01
   10450 -3.48395640E-01  4.77578661E-01 -4.59819728E-01  9.25138280E-01  1.03877579E-01
   10500 -8.06102262E-02  4.37547197E-01 -3.64019256E-01  8.20756691E-01  7.54969905E-02
   10550 -2.32831735E-02  4.65604662E-01 -3.25070992E-01  7.98218862E-01  4.35118201E-02
   10600  1.07632588E-01  4.59930944E-01 -3.75707338E-01  8.36585938E-01  1.50074610E-01
   10650  8.19936762E-02  4.13804768E-01 -4.22241715E-01  8.80691740E-01  1.50767200E-01
   10700  2.58104180E-02  3.56544030E-01 -4.36390091E-01  8.61720065E-01  8.80666238E-02
   10750  4.23796898E-02  4.51483947E-01 -4.01117666E-01  9.40193729E-01  5.51121374E-02
