################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       432
# Number of ensembles:         1
################################################################################
  # iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1      79    2.72070000E+00  2.57836233E-01  6.46907802E-01  7.17656444E-01
      -1       1      80    1.72020000E+00  2.39102565E-01  5.48243591E-01  8.01410587E-01
      -1       1      81    2.72070000E+00  2.83528968E-01  5.26989020E-01  8.01182811E-01
      -1       1      82    1.72020000E+00  3.31281197E-01  4.13005822E-01  8.48338941E-01
      -1       1      83    2.72070000E+00  4.25213432E-01  4.32002931E-01  7.95340811E-01
      -1       1      84    1.72020000E+00  3.23826475E-01  3.86561040E-01  8.63543268E-01
      -1       1      85    2.72070000E+00  4.38447680E-01  4.86274906E-01  7.55844129E-01
      -1       1      86    1.72020000E+00  1.76551032E-01  6.50376966E-01  7.38809539E-01
      -1       1      87    2.72070000E+00  2.98735188E-01  3.94916372E-01  8.68791314E-01
      -1       1      88    1.72020000E+00  3.92605673E-01  5.85841711E-01  7.08978332E-01
      -1       1      89    2.72070000E+00  3.25872996E-01  6.76345381E-01  6.60578319E-01
      -1       1      90    1.72020000E+00  6.11048747E-01  3.89956768E-01  6.88878180E-01
      -1       1      91    2.72070000E+00  5.49551374E-01  2.54719963E-01  7.95682743E-01
      -1       1      92    1.72020000E+00  3.32163925E-01  4.10970830E-01  8.48981804E-01
      -1       1      93    2.72070000E+00  1.73373333E-01  4.11415684E-01  8.94806584E-01
      -1       1      94    1.72020000E+00  2.52013588E-01  9.83204043E-02  9.62716079E-01
      -1       1      95    2.72070000E+00  2.15404450E-01  3.46243649E-01  9.13080642E-01
      -1       1      96    1.72020000E+00  3.59543286E-01  6.80873367E-01  6.38075296E-01
      -1       1      97    2.72070000E+00  4.33421546E-01  5.42898589E-01  7.19310006E-01
      -1       1      98    1.72020000E+00  4.76669852E-01  3.21375518E-01  8.18232014E-01
      -1       1      99    2.72070000E+00  2.17299642E-01  6.27001847E-01  7.48097286E-01
      -1       1     100    1.72020000E+00  4.66339238E-01  4.02722289E-01  7.87618228E-01
      -1       1     101    2.72070000E+00  3.12503292E-01  5.41843572E-01  7.80222555E-01
      -1       1     102    1.72020000E+00  3.03632103E-01  5.13702595E-01  8.02444509E-01
      -1       1     103    2.72070000E+00  4.55885446E-01  4.26226810E-01  7.81344461E-01
      -1       1     104    1.72020000E+00  5.06285515E-01  3.75978135E-01  7.76089827E-01
      -1       1     105    2.72070000E+00  2.21444664E-01  4.20752535E-01  8.79732667E-01
      -1       1     106    1.72020000E+00  3.76427580E-01  2.53448132E-01  8.91103990E-01
      -1       1     107    2.72070000E+00  3.16385455E-01  4.93432525E-01  8.10200337E-01
      -1       1     108    1.72020000E+00  4.82588923E-01  5.49692992E-01  6.81869156E-01
      -1       1     109    2.72070000E+00  2.25864353E-01  3.79601702E-01  8.97155417E-01
      -1       1     110    1.72020000E+00  4.19988573E-01  3.33991471E-01  8.43836060E-01
      -1       1     111    2.72070000E+00  1.25675925E-01  2.35702862E-01  9.63664736E-01
      -1       1     112    1.72020000E+00  2.24462164E-01  4.26079469E-01  8.76397754E-01
      -1       1     113    2.72070000E+00  3.65346623E-01  4.37824797E-01  8.21481157E-01
      -1       1     114    1.72020000E+00  2.81138048E-01  4.02366285E-01  8.71242085E-01
